Category,Product,College,Size,Selling Price,Units Sold,Cost Price,Month
Stationery,Sticky Notes,Modern College,B5,60,257,40.0,December
Gadgets,Wireless Mouse,PCCOE,256GB,1160,230,980.0,March
Accessories,College Socks,SPIT,Adjustable,300,331,210.0,August
Accessories,College Socks,SKNCOE,Small,220,323,190.0,August
Gadgets,Wireless Mouse,VIIT,128GB,1240,89,1070.0,December
Bags & Cases,Laptop Bag,Bhavan's College,13-inch,530,196,460.0,September
Gadgets,Wireless Mouse,AISSMS,256GB,1260,291,810.0,November
Bags & Cases,College Pouch,St. Xavier's Mumbai,17-inch,490,130,390.0,May
Apparel,Hoodie,Mumbai University,S,600,451,350.0,September
Apparel,Hoodie,Wilson College,S,590,157,320.0,September
Gadgets,Pendrive 32GB,PICT,128GB,660,90,380.0,March
Accessories,Shoes,VIIT,UK10,300,385,160.0,March
Bags & Cases,Backpack,NMIMS,15-inch,880,260,620.0,January
Gadgets,Earphones,Fr. Agnel,256GB,1470,68,880.0,August
Accessories,Wrist Band,Bhavan's College,Free Size,360,363,230.0,May
Stationery,Branded Notebook,Modern College,A4,130,497,90.0,October
Accessories,Keychain,Sinhgad College,Free Size,390,486,330.0,November
Stationery,Sticky Notes,PICT,B5,140,112,110.0,January
Apparel,Jacket,Rizvi College,S,390,181,230.0,March
Stationery,Folder,Wilson College,A4,80,163,70.0,September
Apparel,Jacket,NMIMS,L,550,340,440.0,November
Gadgets,Pendrive 32GB,SPIT,32GB,1240,87,670.0,August
Bags & Cases,Tote Bag,Rizvi College,13-inch,520,458,300.0,April
Apparel,College T-Shirt,VIT Pune,M,610,136,450.0,September
Gadgets,Powerbank,NMIMS,128GB,1120,169,960.0,September
Accessories,College Socks,RAIT,Free Size,100,111,60.0,March
Bags & Cases,Backpack,PCCOE,15-inch,200,261,130.0,October
Accessories,College Socks,VIT Pune,Small,130,251,80.0,November
Bags & Cases,Backpack,Mumbai University,17-inch,950,382,770.0,October
Gadgets,Powerbank,HR College,256GB,1010,103,710.0,August
Accessories,College Cap,SPIT,Large,330,500,260.0,December
Gadgets,Pendrive 32GB,Mumbai University,256GB,760,75,530.0,November
Gadgets,Pendrive 32GB,VESIT,32GB,910,329,800.0,April
Gadgets,Pendrive 32GB,SPIT,64GB,1350,189,750.0,August
Bags & Cases,Laptop Bag,SPIT,17-inch,630,413,510.0,June
Bags & Cases,Backpack,DY Patil Pune,15-inch,860,373,610.0,July
Gadgets,Earphones,VIT Pune,32GB,1350,315,920.0,January
Apparel,College T-Shirt,RAIT,M,510,404,440.0,February
Gadgets,Powerbank,SPIT,32GB,1220,135,1010.0,August
Apparel,Hoodie,HR College,M,570,373,330.0,September
Apparel,Sweatshirt,Wilson College,S,480,176,320.0,October
Stationery,Sticky Notes,PICT,A4,70,242,40.0,February
Stationery,Pen Set,RAIT,B5,130,311,70.0,September
Bags & Cases,Tote Bag,RAIT,15-inch,930,27,520.0,January
Apparel,College T-Shirt,Fr. Agnel,L,690,137,550.0,July
Stationery,Sticky Notes,Fr. Agnel,A4,80,282,50.0,September
Stationery,Folder,PCCOE,B5,60,63,50.0,December
Apparel,Hoodie,Wilson College,S,510,252,300.0,February
Accessories,College Cap,VIIT,Adjustable,500,186,310.0,May
Accessories,College Badge,Modern College,Free Size,170,418,100.0,July
Gadgets,Wireless Mouse,COEP,64GB,820,63,590.0,December
Apparel,College T-Shirt,PICT,L,770,237,600.0,July
Apparel,College T-Shirt,VIIT,L,690,34,460.0,November
Apparel,Jacket,COEP,L,420,41,210.0,May
Gadgets,Wireless Mouse,Modern College,128GB,560,224,480.0,June
Stationery,Folder,DY Patil Pune,A4,120,413,70.0,October
Bags & Cases,Tote Bag,Bhavan's College,13-inch,460,384,250.0,June
Apparel,Jacket,KJ Somaiya,L,520,205,340.0,October
Apparel,Jacket,Bhavan's College,S,720,135,500.0,October
Bags & Cases,College Pouch,SIES,17-inch,960,62,780.0,January
Stationery,Branded Notebook,Sinhgad College,B5,60,162,40.0,December
Accessories,College Cap,Fr. Agnel,Free Size,350,417,260.0,June
Apparel,Hoodie,PICT,M,420,241,240.0,August
Stationery,Folder,Bhavan's College,B5,140,135,100.0,May
Gadgets,Pendrive 32GB,AISSMS,32GB,510,348,450.0,September
Stationery,Pen Set,St. Xavier's Mumbai,A4,110,369,70.0,July
Bags & Cases,Backpack,DJ Sanghvi,15-inch,750,320,460.0,October
Accessories,College Badge,Sinhgad College,Large,270,491,240.0,July
Apparel,Jacket,PICT,M,630,237,480.0,September
Stationery,Sticky Notes,St. Xavier's Mumbai,A5,80,77,60.0,January
Accessories,Shoes,VIIT,UK7,450,292,400.0,March
Apparel,College T-Shirt,DY Patil Pune,L,570,30,400.0,November
Stationery,Branded Notebook,St. Xavier's Mumbai,A4,100,297,80.0,October
Bags & Cases,Tote Bag,PICT,17-inch,500,106,280.0,May
Accessories,College Badge,KJ Somaiya,Adjustable,90,295,80.0,April
Stationery,Branded Notebook,VIT Pune,B5,130,365,100.0,January
Bags & Cases,Backpack,PICT,17-inch,650,381,350.0,August
Apparel,Hoodie,Thakur College,S,570,470,290.0,October
Apparel,Sweatshirt,MIT WPU,L,640,47,420.0,November
Bags & Cases,Tote Bag,Modern College,15-inch,500,408,340.0,December
Accessories,College Badge,SKNCOE,Free Size,460,138,250.0,November
Apparel,Sweatshirt,MIT WPU,M,750,230,610.0,August
Bags & Cases,Tote Bag,Modern College,15-inch,190,71,120.0,August
Gadgets,Earphones,Wilson College,128GB,1360,472,710.0,July
Gadgets,Earphones,Thakur College,64GB,780,14,640.0,March
Stationery,Pen Set,SKNCOE,A5,130,277,80.0,June
Stationery,Folder,RAIT,A5,110,299,60.0,April
Accessories,Wrist Band,Mumbai University,Small,390,383,330.0,August
Gadgets,Pendrive 32GB,KJ Somaiya,128GB,1440,26,930.0,March
Bags & Cases,Backpack,KJ Somaiya,15-inch,350,360,290.0,January
Accessories,Shoes,KJ Somaiya,UK10,430,353,330.0,September
Apparel,Jacket,MIT WPU,L,510,200,370.0,April
Gadgets,Wireless Mouse,Thakur College,32GB,1380,33,740.0,October
Accessories,Keychain,NMIMS,Large,380,15,210.0,February
Accessories,Wrist Band,DJ Sanghvi,Large,210,300,110.0,October
Stationery,Sticky Notes,HR College,A4,60,84,50.0,June
Apparel,Sweatshirt,AISSMS,M,590,268,320.0,May
Stationery,Branded Notebook,VESIT,A4,90,174,60.0,May
Stationery,Pen Set,SIES,A5,90,210,80.0,February
Stationery,Folder,PICT,A4,70,235,40.0,May
Gadgets,Powerbank,VIIT,32GB,880,313,510.0,June
Stationery,Pen Set,KJ Somaiya,A4,120,398,80.0,April
Apparel,Hoodie,SPIT,S,370,438,200.0,December
Gadgets,Earphones,SIES,64GB,780,324,680.0,May
Accessories,Keychain,SKNCOE,Large,210,304,150.0,September
Apparel,Hoodie,PICT,S,680,224,560.0,March
Apparel,Hoodie,PCCOE,M,800,314,410.0,January
Accessories,Shoes,Wilson College,UK10,300,71,170.0,January
Stationery,Sticky Notes,VIT Pune,A4,120,481,90.0,August
Accessories,Keychain,SPIT,Adjustable,80,466,50.0,February
Apparel,Sweatshirt,Bharati Vidyapeeth,S,410,134,360.0,January
Accessories,Shoes,SIES,UK8,120,83,100.0,March
Bags & Cases,College Pouch,PICT,13-inch,960,462,780.0,March
Bags & Cases,Backpack,COEP,13-inch,630,297,340.0,December
Gadgets,Earphones,VIT Pune,256GB,720,197,480.0,July
Bags & Cases,Tote Bag,SIES,15-inch,760,438,390.0,February
Apparel,Hoodie,Modern College,S,420,88,240.0,February
Stationery,Sticky Notes,Thakur College,A5,120,217,80.0,February
Bags & Cases,Tote Bag,Rizvi College,15-inch,300,170,160.0,March
Gadgets,Powerbank,HR College,128GB,790,217,460.0,November
Stationery,Branded Notebook,NMIMS,A5,150,445,120.0,November
Stationery,Folder,Rizvi College,B5,110,442,90.0,December
Stationery,Folder,AISSMS,B5,130,227,110.0,November
Stationery,Folder,Thakur College,A5,90,268,50.0,May
Apparel,College T-Shirt,DJ Sanghvi,S,510,356,410.0,August
Accessories,College Socks,RAIT,Adjustable,450,275,240.0,August
Apparel,Sweatshirt,DJ Sanghvi,M,790,497,610.0,November
Bags & Cases,College Pouch,NMIMS,17-inch,540,407,330.0,August
Bags & Cases,Backpack,SKNCOE,15-inch,170,95,100.0,January
Bags & Cases,Backpack,COEP,15-inch,610,220,320.0,September
Bags & Cases,College Pouch,St. Xavier's Mumbai,13-inch,740,261,580.0,July
Apparel,Jacket,Fr. Agnel,M,500,370,360.0,October
Gadgets,Wireless Mouse,Sinhgad College,32GB,1280,62,1140.0,June
Bags & Cases,Tote Bag,SIES,15-inch,830,295,480.0,August
Bags & Cases,Backpack,VIIT,13-inch,430,365,290.0,May
Gadgets,Earphones,Bhavan's College,64GB,980,108,640.0,February
Bags & Cases,College Pouch,St. Xavier's Mumbai,17-inch,590,109,370.0,March
Gadgets,Pendrive 32GB,MIT WPU,256GB,880,182,670.0,December
Accessories,Keychain,Rizvi College,Adjustable,200,388,120.0,November
Apparel,College T-Shirt,VESIT,L,490,471,400.0,July
Gadgets,Powerbank,DY Patil Pune,64GB,1210,422,1060.0,December
Bags & Cases,Backpack,Sinhgad College,13-inch,740,243,440.0,March
Apparel,College T-Shirt,VIT Pune,L,720,317,510.0,March
Bags & Cases,Laptop Bag,MIT WPU,17-inch,420,430,350.0,September
Apparel,Sweatshirt,DJ Sanghvi,M,620,271,380.0,December
Bags & Cases,Backpack,Thakur College,17-inch,570,70,430.0,January
Apparel,Jacket,VESIT,M,630,12,550.0,June
Gadgets,Earphones,HR College,128GB,1430,486,850.0,November
Bags & Cases,College Pouch,VESIT,13-inch,870,50,680.0,February
Gadgets,Earphones,Wilson College,64GB,1010,373,770.0,January
Stationery,Folder,Bharati Vidyapeeth,A4,140,296,90.0,April
Bags & Cases,Laptop Bag,NMIMS,13-inch,500,274,360.0,March
Stationery,Folder,HR College,A4,90,390,70.0,October
Stationery,Branded Notebook,COEP,B5,140,417,120.0,December
Gadgets,Wireless Mouse,Rizvi College,256GB,1030,139,880.0,January
Accessories,College Socks,Thakur College,Small,440,17,230.0,June
Accessories,Shoes,Thakur College,UK8,420,375,370.0,November
Accessories,College Socks,St. Xavier's Mumbai,Adjustable,70,408,60.0,November
Apparel,Sweatshirt,COEP,S,760,169,620.0,December
Gadgets,Powerbank,Modern College,256GB,550,432,290.0,December
Bags & Cases,Laptop Bag,SPIT,15-inch,260,47,200.0,March
Stationery,Sticky Notes,Sinhgad College,B5,70,220,60.0,July
Apparel,Jacket,PCCOE,L,540,453,410.0,May
Stationery,Sticky Notes,VIIT,A5,100,363,60.0,July
Accessories,Keychain,St. Xavier's Mumbai,Free Size,230,488,190.0,December
Accessories,Keychain,Wilson College,Small,390,119,340.0,October
Bags & Cases,Backpack,RAIT,15-inch,740,300,530.0,February
Stationery,Folder,DY Patil Pune,A5,130,466,110.0,February
Bags & Cases,Laptop Bag,PICT,13-inch,350,450,280.0,October
Stationery,Pen Set,VIIT,B5,140,154,110.0,March
Bags & Cases,Laptop Bag,Bhavan's College,15-inch,260,191,200.0,November
Bags & Cases,College Pouch,Fr. Agnel,15-inch,780,443,610.0,October
Stationery,Pen Set,RAIT,A4,70,185,40.0,June
Gadgets,Earphones,Bharati Vidyapeeth,64GB,1000,127,560.0,May
Bags & Cases,Backpack,VIT Pune,17-inch,930,417,810.0,April
Accessories,College Badge,HR College,Adjustable,100,94,70.0,October
Stationery,Pen Set,VIT Pune,B5,150,41,90.0,January
Bags & Cases,Laptop Bag,Wilson College,13-inch,330,241,250.0,October
Accessories,College Cap,DJ Sanghvi,Adjustable,490,15,330.0,February
Gadgets,Powerbank,VIT Pune,64GB,680,114,470.0,April
Accessories,Shoes,Modern College,UK10,60,195,40.0,March
Accessories,College Badge,PCCOE,Adjustable,210,446,150.0,December
Apparel,Hoodie,St. Xavier's Mumbai,S,390,202,330.0,July
Accessories,Wrist Band,VIIT,Adjustable,360,189,210.0,September
Stationery,Folder,Fr. Agnel,A5,100,407,80.0,November
Bags & Cases,College Pouch,St. Xavier's Mumbai,17-inch,1000,31,690.0,September
Bags & Cases,Laptop Bag,Sinhgad College,17-inch,350,18,260.0,September
Apparel,Sweatshirt,SPIT,S,670,407,480.0,October
Bags & Cases,College Pouch,NMIMS,17-inch,480,401,290.0,July
Apparel,Sweatshirt,VIT Pune,M,510,370,300.0,July
Apparel,Hoodie,St. Xavier's Mumbai,L,770,182,510.0,July
Bags & Cases,Tote Bag,PCCOE,17-inch,420,412,310.0,January
Bags & Cases,Backpack,Sinhgad College,13-inch,490,402,440.0,August
Stationery,Folder,DJ Sanghvi,A4,100,279,80.0,January
Bags & Cases,Tote Bag,DY Patil Pune,17-inch,540,365,420.0,July
Bags & Cases,College Pouch,VIIT,13-inch,700,258,430.0,October
Gadgets,Wireless Mouse,VIT Pune,128GB,1020,189,540.0,June
Bags & Cases,Laptop Bag,SKNCOE,15-inch,760,432,660.0,March
Accessories,Wrist Band,AISSMS,Large,450,439,400.0,December
Apparel,College T-Shirt,NMIMS,L,340,231,220.0,March
Apparel,Sweatshirt,COEP,M,550,241,330.0,September
Apparel,College T-Shirt,SKNCOE,L,600,368,450.0,August
Bags & Cases,Backpack,Rizvi College,15-inch,840,278,610.0,December
Stationery,Folder,Mumbai University,B5,90,107,60.0,October
Bags & Cases,Backpack,HR College,13-inch,550,39,460.0,January
Accessories,Keychain,PCCOE,Small,80,93,40.0,November
Bags & Cases,Backpack,SPIT,13-inch,620,242,530.0,July
Accessories,College Badge,Rizvi College,Free Size,180,24,100.0,July
Accessories,College Socks,NMIMS,Large,340,186,180.0,May
Bags & Cases,College Pouch,NMIMS,17-inch,360,157,310.0,November
Accessories,Keychain,KJ Somaiya,Adjustable,330,380,280.0,February
Apparel,Sweatshirt,NMIMS,S,370,487,250.0,June
Bags & Cases,Tote Bag,Rizvi College,13-inch,210,108,160.0,July
Bags & Cases,Backpack,Bhavan's College,13-inch,950,335,680.0,December
Gadgets,Wireless Mouse,Sinhgad College,256GB,1160,195,670.0,October
Stationery,Pen Set,Wilson College,A5,150,46,100.0,July
Accessories,College Cap,Rizvi College,Small,130,18,90.0,August
Gadgets,Powerbank,St. Xavier's Mumbai,32GB,1180,393,970.0,December
Gadgets,Earphones,Fr. Agnel,64GB,820,113,480.0,August
Gadgets,Wireless Mouse,KJ Somaiya,32GB,1200,85,960.0,March
Stationery,Pen Set,SIES,A4,110,483,90.0,April
Accessories,College Badge,NMIMS,Free Size,310,21,220.0,December
Stationery,Branded Notebook,Bhavan's College,A4,70,121,60.0,August
Bags & Cases,College Pouch,SKNCOE,15-inch,810,87,520.0,April
Bags & Cases,Backpack,SIES,15-inch,890,64,750.0,November
Apparel,Sweatshirt,Sinhgad College,L,600,487,340.0,January
Stationery,Sticky Notes,VIT Pune,B5,110,215,70.0,September
Gadgets,Pendrive 32GB,SPIT,256GB,1100,349,910.0,October
Bags & Cases,Tote Bag,COEP,15-inch,540,460,360.0,February
Accessories,Shoes,SIES,UK10,400,316,350.0,March
Stationery,Pen Set,Thakur College,B5,60,201,30.0,May
Accessories,Wrist Band,MIT WPU,Large,140,385,90.0,January
Apparel,Sweatshirt,Wilson College,L,630,324,520.0,August
Stationery,Folder,KJ Somaiya,A5,150,382,100.0,April
Stationery,Pen Set,DJ Sanghvi,B5,120,365,70.0,September
Apparel,Hoodie,Sinhgad College,S,530,149,390.0,July
Gadgets,Pendrive 32GB,PICT,128GB,940,124,690.0,April
Apparel,Jacket,VIT Pune,S,460,80,330.0,May
Apparel,Jacket,SKNCOE,L,380,214,330.0,November
Bags & Cases,College Pouch,Rizvi College,17-inch,820,368,510.0,September
Stationery,Sticky Notes,PCCOE,A4,70,18,40.0,October
Stationery,Folder,Rizvi College,B5,110,257,60.0,February
Stationery,Sticky Notes,Bharati Vidyapeeth,A5,130,360,100.0,August
Bags & Cases,Tote Bag,SPIT,15-inch,790,421,570.0,April
Apparel,College T-Shirt,VIIT,S,430,484,330.0,May
Bags & Cases,College Pouch,NMIMS,17-inch,560,216,370.0,July
Gadgets,Wireless Mouse,Mumbai University,256GB,690,199,420.0,February
Gadgets,Wireless Mouse,COEP,64GB,1500,369,930.0,October
Stationery,Folder,SKNCOE,B5,100,108,60.0,January
Accessories,Wrist Band,SPIT,Small,250,214,190.0,March
Gadgets,Pendrive 32GB,Wilson College,128GB,680,395,530.0,April
Gadgets,Powerbank,Fr. Agnel,32GB,980,295,770.0,December
Bags & Cases,Tote Bag,Modern College,15-inch,620,143,450.0,July
Bags & Cases,College Pouch,VESIT,17-inch,800,241,630.0,October
Apparel,Jacket,Fr. Agnel,M,680,437,580.0,August
Accessories,College Socks,HR College,Free Size,80,151,50.0,February
Accessories,College Badge,Mumbai University,Free Size,80,210,70.0,August
Apparel,Hoodie,SKNCOE,L,600,252,330.0,June
Apparel,Jacket,NMIMS,M,560,204,500.0,November
Bags & Cases,Tote Bag,Bhavan's College,13-inch,530,339,430.0,May
Gadgets,Powerbank,HR College,128GB,1080,321,570.0,September
Stationery,Folder,AISSMS,A5,60,325,40.0,March
Stationery,Sticky Notes,VIIT,B5,70,252,40.0,February
Apparel,Hoodie,Sinhgad College,S,540,466,330.0,February
Stationery,Folder,SKNCOE,A4,100,15,50.0,February
Gadgets,Pendrive 32GB,Sinhgad College,256GB,520,247,360.0,February
Gadgets,Pendrive 32GB,Wilson College,64GB,980,262,590.0,January
Bags & Cases,Backpack,PCCOE,17-inch,900,47,590.0,September
Apparel,Jacket,HR College,L,370,18,190.0,December
Bags & Cases,Backpack,RAIT,13-inch,550,196,320.0,December
Apparel,Hoodie,PCCOE,M,340,209,260.0,August
Apparel,Sweatshirt,Rizvi College,S,520,414,280.0,February
Bags & Cases,Tote Bag,MIT WPU,15-inch,660,121,450.0,October
Apparel,College T-Shirt,Thakur College,M,600,462,400.0,July
Apparel,Jacket,Bharati Vidyapeeth,S,510,303,370.0,December
Bags & Cases,Backpack,DY Patil Pune,13-inch,960,263,750.0,March
Stationery,Branded Notebook,SPIT,A4,130,321,80.0,November
Gadgets,Pendrive 32GB,KJ Somaiya,32GB,1480,66,1160.0,September
Stationery,Folder,Bharati Vidyapeeth,A5,140,386,120.0,October
Accessories,College Badge,VIT Pune,Free Size,340,171,240.0,February
Stationery,Pen Set,PICT,A4,120,380,70.0,August
Apparel,College T-Shirt,HR College,S,700,354,410.0,February
Gadgets,Pendrive 32GB,Sinhgad College,128GB,1500,387,860.0,October
Stationery,Pen Set,PCCOE,A5,120,79,80.0,October
Bags & Cases,College Pouch,PICT,15-inch,860,296,580.0,August
Apparel,Sweatshirt,Mumbai University,M,430,84,390.0,February
Bags & Cases,Backpack,Sinhgad College,15-inch,820,372,440.0,January
Gadgets,Pendrive 32GB,SIES,64GB,720,309,370.0,March
Bags & Cases,College Pouch,Mumbai University,13-inch,670,301,530.0,August
Stationery,Pen Set,PCCOE,B5,100,282,60.0,October
Bags & Cases,Backpack,MIT WPU,15-inch,620,18,350.0,December
Stationery,Folder,Rizvi College,B5,60,114,40.0,June
Stationery,Branded Notebook,SPIT,A5,140,269,120.0,May
Accessories,Shoes,AISSMS,UK10,460,77,280.0,September
Bags & Cases,College Pouch,Fr. Agnel,13-inch,870,127,690.0,September
Gadgets,Wireless Mouse,Thakur College,256GB,1060,46,900.0,December
Stationery,Folder,VIT Pune,B5,100,442,50.0,January
Stationery,Branded Notebook,Modern College,B5,90,56,70.0,April
Bags & Cases,Backpack,St. Xavier's Mumbai,13-inch,990,48,850.0,September
Apparel,Sweatshirt,VESIT,L,360,471,310.0,April
Apparel,Jacket,VESIT,M,660,301,370.0,April
Apparel,College T-Shirt,VIIT,L,620,86,390.0,May
Gadgets,Earphones,VIIT,256GB,1380,173,1110.0,April
Accessories,Keychain,VIIT,Large,80,166,70.0,September
Gadgets,Earphones,SPIT,128GB,1120,202,970.0,November
Accessories,Keychain,Fr. Agnel,Large,280,458,150.0,June
Bags & Cases,College Pouch,VIT Pune,17-inch,220,144,110.0,November
Bags & Cases,Tote Bag,Thakur College,17-inch,840,236,640.0,August
Apparel,Sweatshirt,RAIT,S,380,287,320.0,March
Stationery,Branded Notebook,Fr. Agnel,A5,110,287,80.0,October
Stationery,Sticky Notes,Bhavan's College,B5,60,102,50.0,June
Gadgets,Wireless Mouse,DJ Sanghvi,256GB,1270,107,810.0,April
Apparel,College T-Shirt,MIT WPU,M,450,298,260.0,April
Gadgets,Earphones,VESIT,128GB,1480,406,1270.0,July
Gadgets,Powerbank,Wilson College,256GB,590,221,380.0,March
Apparel,Sweatshirt,Fr. Agnel,S,370,405,200.0,April
Apparel,College T-Shirt,SIES,M,420,326,320.0,September
Accessories,Keychain,VIT Pune,Small,450,212,260.0,February
Stationery,Pen Set,KJ Somaiya,A5,80,449,40.0,November
Bags & Cases,Backpack,Wilson College,13-inch,620,344,370.0,June
Accessories,Wrist Band,KJ Somaiya,Free Size,360,177,220.0,August
Stationery,Sticky Notes,Modern College,A4,120,290,90.0,July
Accessories,Keychain,SPIT,Free Size,170,442,130.0,April
Bags & Cases,Tote Bag,Fr. Agnel,15-inch,240,402,140.0,January
Stationery,Pen Set,COEP,A4,70,391,60.0,July
Apparel,Jacket,VIIT,S,740,269,480.0,October
Apparel,Jacket,DY Patil Pune,L,370,29,230.0,June
Apparel,College T-Shirt,VESIT,M,740,413,620.0,September
Stationery,Pen Set,Bharati Vidyapeeth,A4,50,499,30.0,February
Accessories,College Socks,AISSMS,Small,210,232,170.0,December
Accessories,Keychain,Fr. Agnel,Free Size,320,140,270.0,April
Accessories,College Socks,SPIT,Free Size,280,124,240.0,June
Accessories,College Cap,COEP,Free Size,390,26,300.0,October
Accessories,Keychain,NMIMS,Free Size,100,65,90.0,December
Gadgets,Wireless Mouse,Rizvi College,64GB,1250,70,1110.0,March
Stationery,Pen Set,HR College,A5,80,421,40.0,August
Apparel,Jacket,VIT Pune,L,640,475,430.0,August
Bags & Cases,Backpack,Bhavan's College,17-inch,930,469,630.0,February
Gadgets,Earphones,Bharati Vidyapeeth,64GB,1150,20,1020.0,October
Accessories,College Socks,MIT WPU,Large,120,97,70.0,September
Bags & Cases,College Pouch,VIIT,17-inch,950,290,810.0,April
Gadgets,Pendrive 32GB,DY Patil Pune,128GB,1000,217,690.0,November
Stationery,Sticky Notes,VIT Pune,B5,50,336,40.0,January
Gadgets,Pendrive 32GB,AISSMS,64GB,1000,464,820.0,May
Accessories,Keychain,VESIT,Small,150,383,110.0,August
Bags & Cases,Tote Bag,Bharati Vidyapeeth,15-inch,590,382,510.0,December
Accessories,College Socks,AISSMS,Adjustable,290,24,200.0,February
Apparel,Sweatshirt,Wilson College,M,310,338,220.0,March
Gadgets,Earphones,Modern College,64GB,1490,483,810.0,October
Gadgets,Pendrive 32GB,PCCOE,128GB,1460,318,810.0,October
Apparel,Sweatshirt,NMIMS,L,360,131,230.0,February
Apparel,Jacket,Mumbai University,L,640,51,430.0,October
Stationery,Branded Notebook,PCCOE,A4,140,457,110.0,November
Gadgets,Powerbank,SPIT,128GB,1420,81,980.0,January
Apparel,Hoodie,SKNCOE,M,420,336,380.0,August
Bags & Cases,College Pouch,VIT Pune,15-inch,420,172,330.0,August
Gadgets,Earphones,MIT WPU,128GB,1360,102,940.0,April
Apparel,Hoodie,AISSMS,M,740,358,610.0,July
Apparel,Sweatshirt,Mumbai University,L,300,302,250.0,March
Stationery,Folder,Rizvi College,A4,140,488,70.0,July
Accessories,College Socks,Modern College,Small,240,388,130.0,April
Bags & Cases,Laptop Bag,VIT Pune,17-inch,340,45,200.0,February
Accessories,Wrist Band,Rizvi College,Large,160,416,90.0,March
Apparel,Sweatshirt,COEP,S,760,338,580.0,September
Apparel,Hoodie,RAIT,L,320,270,280.0,July
Gadgets,Powerbank,AISSMS,32GB,850,496,590.0,September
Bags & Cases,Backpack,Wilson College,17-inch,640,351,470.0,November
Apparel,Sweatshirt,SIES,M,340,115,220.0,February
Apparel,Hoodie,Wilson College,L,690,491,360.0,March
Gadgets,Wireless Mouse,AISSMS,64GB,1380,93,1110.0,January
Stationery,Folder,SKNCOE,B5,70,192,50.0,September
Accessories,College Socks,RAIT,Small,130,18,100.0,February
Apparel,Jacket,SKNCOE,L,490,36,360.0,September
Bags & Cases,Laptop Bag,COEP,13-inch,170,296,150.0,September
Gadgets,Pendrive 32GB,PCCOE,256GB,1440,64,850.0,March
Stationery,Folder,Mumbai University,A4,130,61,80.0,August
Gadgets,Powerbank,Mumbai University,256GB,590,360,440.0,June
Bags & Cases,Tote Bag,St. Xavier's Mumbai,13-inch,770,343,390.0,April
Accessories,Shoes,Bharati Vidyapeeth,UK9,180,277,120.0,March
Bags & Cases,Laptop Bag,DJ Sanghvi,17-inch,350,478,250.0,April
Stationery,Folder,Fr. Agnel,A5,110,247,80.0,September
Accessories,Shoes,St. Xavier's Mumbai,UK10,180,214,130.0,December
Bags & Cases,Backpack,NMIMS,13-inch,910,156,500.0,June
Bags & Cases,College Pouch,NMIMS,15-inch,490,352,420.0,November
Accessories,Shoes,NMIMS,UK8,50,93,30.0,February
Apparel,Hoodie,Mumbai University,S,500,421,270.0,November
Gadgets,Wireless Mouse,SKNCOE,128GB,830,304,560.0,June
Accessories,College Badge,KJ Somaiya,Free Size,270,79,240.0,June
Bags & Cases,Laptop Bag,Wilson College,15-inch,540,181,330.0,August
Stationery,Branded Notebook,Wilson College,A5,100,41,80.0,October
Gadgets,Powerbank,Sinhgad College,32GB,630,421,430.0,September
Accessories,College Cap,Wilson College,Large,250,303,210.0,May
Bags & Cases,Laptop Bag,Rizvi College,17-inch,1000,37,510.0,August
Accessories,College Socks,Fr. Agnel,Free Size,250,350,170.0,November
Stationery,Sticky Notes,Bhavan's College,A5,110,342,80.0,August
Gadgets,Earphones,Mumbai University,256GB,640,144,390.0,May
Bags & Cases,Backpack,Rizvi College,15-inch,240,212,190.0,June
Accessories,Wrist Band,AISSMS,Small,140,292,100.0,January
Stationery,Folder,SKNCOE,A5,110,446,90.0,January
Accessories,College Socks,DJ Sanghvi,Small,300,326,180.0,August
Accessories,Keychain,AISSMS,Small,460,252,370.0,January
Accessories,College Badge,SPIT,Small,360,175,300.0,December
Bags & Cases,Tote Bag,HR College,13-inch,200,104,170.0,March
Accessories,Keychain,Wilson College,Adjustable,420,453,230.0,September
Accessories,College Socks,Mumbai University,Adjustable,210,174,180.0,February
Apparel,Sweatshirt,VIIT,M,390,493,230.0,November
Apparel,College T-Shirt,Bhavan's College,L,800,168,450.0,February
Stationery,Folder,Mumbai University,B5,100,73,80.0,May
Apparel,Jacket,Modern College,M,500,430,350.0,December
Apparel,Hoodie,Wilson College,L,710,71,620.0,October
Apparel,College T-Shirt,PICT,S,550,269,450.0,April
Stationery,Sticky Notes,DJ Sanghvi,B5,140,169,120.0,October
Accessories,College Cap,PCCOE,Free Size,290,454,180.0,March
Accessories,College Badge,Modern College,Large,300,48,260.0,June
Gadgets,Pendrive 32GB,Mumbai University,256GB,720,455,460.0,August
Bags & Cases,Backpack,Bhavan's College,15-inch,610,449,520.0,May
Stationery,Pen Set,Thakur College,A4,130,313,80.0,August
Bags & Cases,College Pouch,VIT Pune,17-inch,180,495,150.0,October
Gadgets,Powerbank,St. Xavier's Mumbai,32GB,560,367,420.0,July
Gadgets,Powerbank,St. Xavier's Mumbai,32GB,710,376,560.0,March
Stationery,Pen Set,DJ Sanghvi,B5,50,287,30.0,July
Stationery,Folder,VIT Pune,A4,120,191,90.0,September
Apparel,College T-Shirt,AISSMS,L,480,333,250.0,June
Gadgets,Pendrive 32GB,Sinhgad College,256GB,1340,341,970.0,February
Apparel,Sweatshirt,PICT,S,350,109,300.0,May
Bags & Cases,Tote Bag,VIIT,15-inch,960,349,660.0,October
